Community_Name,price,area,layout,site,total_height,toward,built_year,age,price_per_sqm
银桦新村,338.0,143.52,402,2,22.0,7,2001,23,2.3550724637681157
公园道,450.0,143.1,402,3,30.0,2,2009,15,3.1446540880503147
华发峰景湾,240.0,98.19,302,1,39.0,5,2017,7,2.444240757714635
恒裕水墨兰亭,517.0,119.68,402,2,30.0,2,2016,8,4.31985294117647
珠光里程花园,370.0,94.8,302,3,31.0,2,2024,0,3.9029535864978904
盛东·江山赋,530.0,153.55,402,2,33.0,9,2018,6,3.451644415499837
鸿雁新苑,116.0,86.0,302,1,7.0,2,1998,26,1.3488372093023255
香宁花园,102.0,84.29,301,4,7.0,2,1997,27,1.210107960612172
万科金域蓝湾,365.0,87.8,202,2,31.0,2,2008,16,4.157175398633258
金色九洲,255.0,128.03,402,3,17.0,6,2004,20,1.9917206904631726
优仕雅苑,345.0,111.0,302,3,11.0,2,2010,14,3.108108108108108
仁恒星园,378.0,131.7,302,2,30.0,4,2011,13,2.8701594533029615
五洲花城,510.0,167.54,401,3,17.0,2,2005,19,3.0440491822848275
云顶澜山,380.0,174.59,502,3,31.0,9,2014,10,2.1765278652843807
云顶澜山,120.0,70.0,202,2,31.0,2,2024,0,1.7142857142857142
仁恒星园,237.0,94.7,302,3,30.0,2,2008,16,2.5026399155227033
鸿运花园,215.0,100.0,302,1,7.0,2,1997,27,2.15
朗晴居,103.0,43.79,201,2,11.0,4,2003,21,2.3521351906828043
路福鸿馨园,290.0,133.48,402,2,17.0,2,2009,15,2.172610128858256
凤山府,204.0,85.5,202,1,34.0,9,2021,3,2.3859649122807016
中珠上城,358.0,141.68,402,3,17.0,6,2008,16,2.5268210050818745
恒荣城市溪谷,567.0,165.0,402,3,37.0,9,2018,6,3.4363636363636365
富华广场三期,360.0,126.0,302,3,25.0,2,2005,19,2.857142857142857
学府道,300.0,109.05,402,2,31.0,2,2010,14,2.751031636863824
清能思源府,228.0,78.51,202,2,20.0,5,2014,10,2.904088651127245
丽景名城,250.0,92.98,302,2,7.0,2,2008,16,2.688750268875027
仁恒星园,388.0,144.56,302,2,18.0,2,2008,16,2.684006640841173
华策南湾国际,285.0,125.0,402,1,31.0,9,2014,10,2.28
仁恒星园,380.0,143.93,302,3,16.0,8,2008,16,2.6401723059820745
中铁·诺德国际,458.0,140.0,402,3,39.0,9,2019,5,3.2714285714285714
盛东·江山赋,308.0,115.78,302,3,17.0,2,2018,6,2.660217654171705
华发国际海岸,225.0,80.48,202,1,33.0,2,2017,7,2.7957256461232602
华发峰景湾花园,179.0,76.0,202,3,39.0,8,2017,7,2.3552631578947367
金域华府,298.0,77.39,302,3,18.0,5,2014,10,3.8506266959555497
金地伊顿山,380.0,126.88,402,2,31.0,2,2010,14,2.994955863808323
仁恒星园,400.0,153.17,302,2,26.0,2,2012,12,2.611477443363583
华发未来荟,168.0,90.16,302,1,11.0,2,2016,8,1.8633540372670807
